 0.1000000D+00 0.1594242D+34
 0.1006240D+00 0.1613970D+34
 0.1012519D+00 0.1633940D+34
 0.1018838D+00 0.1654156D+34
 0.1025195D+00 0.1674621D+34
 0.1031593D+00 0.1695337D+34
 0.1038030D+00 0.1716308D+34
 0.1044508D+00 0.1737536D+34
 0.1051026D+00 0.1759026D+34
 0.1057584D+00 0.1780779D+34
 0.1064184D+00 0.1802800D+34
 0.1070825D+00 0.1825092D+34
 0.1077507D+00 0.1847657D+34
 0.1084231D+00 0.1870500D+34
 0.1090997D+00 0.1893623D+34
 0.1097805D+00 0.1917030D+34
 0.1104655D+00 0.1940725D+34
 0.1111549D+00 0.1964710D+34
 0.1118485D+00 0.1988990D+34
 0.1125464D+00 0.2013568D+34
 0.1132488D+00 0.2038448D+34
 0.1139555D+00 0.2063633D+34
 0.1146666D+00 0.2089127D+34
 0.1153821D+00 0.2114933D+34
 0.1161021D+00 0.2141057D+34
 0.1168266D+00 0.2167500D+34
 0.1175556D+00 0.2194268D+34
 0.1182892D+00 0.2221365D+34
 0.1190274D+00 0.2248793D+34
 0.1197701D+00 0.2276558D+34
 0.1205175D+00 0.2304663D+34
 0.1212696D+00 0.2333112D+34
 0.1220263D+00 0.2361910D+34
 0.1227878D+00 0.2391061D+34
 0.1235540D+00 0.2420569D+34
 0.1243250D+00 0.2450439D+34
 0.1251008D+00 0.2480674D+34
 0.1258815D+00 0.2511280D+34
 0.1266670D+00 0.2542260D+34
 0.1274574D+00 0.2573619D+34
 0.1282528D+00 0.2605363D+34
 0.1290531D+00 0.2637495D+34
 0.1298584D+00 0.2670020D+34
 0.1306688D+00 0.2702943D+34
 0.1314842D+00 0.2736268D+34
 0.1323047D+00 0.2770002D+34
 0.1331303D+00 0.2804148D+34
 0.1339611D+00 0.2838711D+34
 0.1347970D+00 0.2873697D+34
 0.1356382D+00 0.2909110D+34
 0.1364846D+00 0.2944957D+34
 0.1373363D+00 0.2981241D+34
 0.1381933D+00 0.3017969D+34
 0.1390556D+00 0.3055146D+34
 0.1399234D+00 0.3092776D+34
 0.1407965D+00 0.3130866D+34
 0.1416751D+00 0.3169421D+34
 0.1425592D+00 0.3208447D+34
 0.1434488D+00 0.3247950D+34
 0.1443440D+00 0.3287934D+34
 0.1452447D+00 0.3328406D+34
 0.1461511D+00 0.3369372D+34
 0.1470631D+00 0.3410838D+34
 0.1479808D+00 0.3452810D+34
 0.1489042D+00 0.3495293D+34
 0.1498334D+00 0.3538294D+34
 0.1507684D+00 0.3581820D+34
 0.1517092D+00 0.3625876D+34
 0.1526559D+00 0.3670468D+34
 0.1536085D+00 0.3715605D+34
 0.1545671D+00 0.3761291D+34
 0.1555316D+00 0.3807533D+34
 0.1565022D+00 0.3854338D+34
 0.1574788D+00 0.3901714D+34
 0.1584615D+00 0.3949666D+34
 0.1594503D+00 0.3998201D+34
 0.1604453D+00 0.4047328D+34
 0.1614465D+00 0.4097052D+34
 0.1624540D+00 0.4147381D+34
 0.1634677D+00 0.4198321D+34
 0.1644878D+00 0.4249882D+34
 0.1655143D+00 0.4302069D+34
 0.1665471D+00 0.4354890D+34
 0.1675864D+00 0.4408354D+34
 0.1686322D+00 0.4462467D+34
 0.1696845D+00 0.4517237D+34
 0.1707433D+00 0.4572673D+34
 0.1718088D+00 0.4628781D+34
 0.1728809D+00 0.4685571D+34
 0.1739598D+00 0.4743050D+34
 0.1750453D+00 0.4801227D+34
 0.1761376D+00 0.4860110D+34
 0.1772368D+00 0.4919707D+34
 0.1783428D+00 0.4980027D+34
 0.1794557D+00 0.5041078D+34
 0.1805755D+00 0.5102869D+34
 0.1817023D+00 0.5165409D+34
 0.1828362D+00 0.5228708D+34
 0.1839771D+00 0.5292773D+34
 0.1851252D+00 0.5357614D+34
 0.1862804D+00 0.5423240D+34
 0.1874428D+00 0.5489661D+34
 0.1886125D+00 0.5556886D+34
 0.1897895D+00 0.5624925D+34
 0.1909738D+00 0.5693787D+34
 0.1921655D+00 0.5763482D+34
 0.1933647D+00 0.5834020D+34
 0.1945713D+00 0.5905411D+34
 0.1957855D+00 0.5977665D+34
 0.1970073D+00 0.6050792D+34
 0.1982366D+00 0.6124803D+34
 0.1994737D+00 0.6199708D+34
 0.2007184D+00 0.6275518D+34
 0.2019709D+00 0.6352243D+34
 0.2032313D+00 0.6429894D+34
 0.2044995D+00 0.6508483D+34
 0.2057756D+00 0.6588019D+34
 0.2070597D+00 0.6668516D+34
 0.2083518D+00 0.6749983D+34
 0.2096520D+00 0.6832432D+34
 0.2109602D+00 0.6915876D+34
 0.2122767D+00 0.7000325D+34
 0.2136013D+00 0.7085792D+34
 0.2149342D+00 0.7172288D+34
 0.2162755D+00 0.7259826D+34
 0.2176251D+00 0.7348417D+34
 0.2189831D+00 0.7438075D+34
 0.2203496D+00 0.7528812D+34
 0.2217246D+00 0.7620641D+34
 0.2231083D+00 0.7713574D+34
 0.2245005D+00 0.7807624D+34
 0.2259014D+00 0.7902806D+34
 0.2273111D+00 0.7999130D+34
 0.2287296D+00 0.8096613D+34
 0.2301569D+00 0.8195266D+34
 0.2315931D+00 0.8295104D+34
 0.2330383D+00 0.8396140D+34
 0.2344925D+00 0.8498389D+34
 0.2359558D+00 0.8601864D+34
 0.2374282D+00 0.8706581D+34
 0.2389098D+00 0.8812553D+34
 0.2404007D+00 0.8919796D+34
 0.2419008D+00 0.9028324D+34
 0.2434104D+00 0.9138153D+34
 0.2449293D+00 0.9249297D+34
 0.2464577D+00 0.9361771D+34
 0.2479957D+00 0.9475593D+34
 0.2495432D+00 0.9590776D+34
 0.2511004D+00 0.9707337D+34
 0.2526673D+00 0.9825292D+34
 0.2542440D+00 0.9944658D+34
 0.2558306D+00 0.1006545D+35
 0.2574270D+00 0.1018769D+35
 0.2590334D+00 0.1031138D+35
 0.2606498D+00 0.1043655D+35
 0.2622763D+00 0.1056322D+35
 0.2639130D+00 0.1069140D+35
 0.2655599D+00 0.1082111D+35
 0.2672170D+00 0.1095236D+35
 0.2688845D+00 0.1108518D+35
 0.2705624D+00 0.1121959D+35
 0.2722508D+00 0.1135559D+35
 0.2739497D+00 0.1149321D+35
 0.2756592D+00 0.1163248D+35
 0.2773794D+00 0.1177340D+35
 0.2791103D+00 0.1191600D+35
 0.2808520D+00 0.1206029D+35
 0.2826046D+00 0.1220630D+35
 0.2843681D+00 0.1235404D+35
 0.2861426D+00 0.1250354D+35
 0.2879282D+00 0.1265482D+35
 0.2897249D+00 0.1280789D+35
 0.2915329D+00 0.1296278D+35
 0.2933521D+00 0.1311951D+35
 0.2951827D+00 0.1327810D+35
 0.2970247D+00 0.1343857D+35
 0.2988782D+00 0.1360094D+35
 0.3007432D+00 0.1376523D+35
 0.3026200D+00 0.1393147D+35
 0.3045084D+00 0.1409968D+35
 0.3064086D+00 0.1426988D+35
 0.3083206D+00 0.1444209D+35
 0.3102446D+00 0.1461634D+35
 0.3121806D+00 0.1479265D+35
 0.3141287D+00 0.1497104D+35
 0.3160889D+00 0.1515154D+35
 0.3180614D+00 0.1533417D+35
 0.3200461D+00 0.1551896D+35
 0.3220433D+00 0.1570593D+35
 0.3240529D+00 0.1589510D+35
 0.3260751D+00 0.1608650D+35
 0.3281099D+00 0.1628016D+35
 0.3301573D+00 0.1647610D+35
 0.3322176D+00 0.1667435D+35
 0.3342907D+00 0.1687493D+35
 0.3363768D+00 0.1707787D+35
 0.3384758D+00 0.1728320D+35
 0.3405880D+00 0.1749094D+35
 0.3427133D+00 0.1770113D+35
 0.3448519D+00 0.1791378D+35
 0.3470039D+00 0.1812893D+35
 0.3491693D+00 0.1834660D+35
 0.3513482D+00 0.1856683D+35
 0.3535406D+00 0.1878964D+35
 0.3557468D+00 0.1901506D+35
 0.3579668D+00 0.1924312D+35
 0.3602005D+00 0.1947385D+35
 0.3624483D+00 0.1970729D+35
 0.3647100D+00 0.1994345D+35
 0.3669859D+00 0.2018237D+35
 0.3692760D+00 0.2042409D+35
 0.3715803D+00 0.2066864D+35
 0.3738991D+00 0.2091603D+35
 0.3762323D+00 0.2116632D+35
 0.3785801D+00 0.2141953D+35
 0.3809425D+00 0.2167568D+35
 0.3833196D+00 0.2193483D+35
 0.3857116D+00 0.2219699D+35
 0.3881186D+00 0.2246221D+35
 0.3905405D+00 0.2273051D+35
 0.3929776D+00 0.2300193D+35
 0.3954298D+00 0.2327651D+35
 0.3978974D+00 0.2355428D+35
 0.4003804D+00 0.2383527D+35
 0.4028788D+00 0.2411953D+35
 0.4053929D+00 0.2440709D+35
 0.4079226D+00 0.2469798D+35
 0.4104682D+00 0.2499224D+35
 0.4130296D+00 0.2528991D+35
 0.4156070D+00 0.2559103D+35
 0.4182004D+00 0.2589563D+35
 0.4208101D+00 0.2620375D+35
 0.4234360D+00 0.2651544D+35
 0.4260784D+00 0.2683073D+35
 0.4287372D+00 0.2714965D+35
 0.4314126D+00 0.2747226D+35
 0.4341047D+00 0.2779859D+35
 0.4368136D+00 0.2812868D+35
 0.4395394D+00 0.2846258D+35
 0.4422823D+00 0.2880032D+35
 0.4450422D+00 0.2914194D+35
 0.4478194D+00 0.2948750D+35
 0.4506139D+00 0.2983702D+35
 0.4534258D+00 0.3019056D+35
 0.4562553D+00 0.3054816D+35
 0.4591024D+00 0.3090987D+35
 0.4619673D+00 0.3127572D+35
 0.4648501D+00 0.3164576D+35
 0.4677508D+00 0.3202004D+35
 0.4706697D+00 0.3239860D+35
 0.4736068D+00 0.3278150D+35
 0.4765622D+00 0.3316877D+35
 0.4795361D+00 0.3356047D+35
 0.4825285D+00 0.3395663D+35
 0.4855395D+00 0.3435732D+35
 0.4885694D+00 0.3476258D+35
 0.4916182D+00 0.3517245D+35
 0.4946860D+00 0.3558699D+35
 0.4977729D+00 0.3600625D+35
 0.5008792D+00 0.3643028D+35
 0.5040048D+00 0.3685912D+35
 0.5071499D+00 0.3729284D+35
 0.5103146D+00 0.3773147D+35
 0.5134991D+00 0.3817509D+35
 0.5167034D+00 0.3862372D+35
 0.5199277D+00 0.3907744D+35
 0.5231722D+00 0.3953630D+35
 0.5264369D+00 0.4000034D+35
 0.5297220D+00 0.4046963D+35
 0.5330276D+00 0.4094422D+35
 0.5363538D+00 0.4142416D+35
 0.5397008D+00 0.4190951D+35
 0.5430686D+00 0.4240034D+35
 0.5464575D+00 0.4289669D+35
 0.5498675D+00 0.4339862D+35
 0.5532988D+00 0.4390620D+35
 0.5567515D+00 0.4441948D+35
 0.5602257D+00 0.4493852D+35
 0.5637217D+00 0.4546338D+35
 0.5672394D+00 0.4599413D+35
 0.5707791D+00 0.4653081D+35
 0.5743409D+00 0.4707351D+35
 0.5779249D+00 0.4762227D+35
 0.5815313D+00 0.4817716D+35
 0.5851602D+00 0.4873825D+35
 0.5888117D+00 0.4930560D+35
 0.5924860D+00 0.4987927D+35
 0.5961833D+00 0.5045932D+35
 0.5999036D+00 0.5104583D+35
 0.6036471D+00 0.5163886D+35
 0.6074140D+00 0.5223848D+35
 0.6112044D+00 0.5284475D+35
 0.6150184D+00 0.5345774D+35
 0.6188563D+00 0.5407753D+35
 0.6227181D+00 0.5470417D+35
 0.6266040D+00 0.5533774D+35
 0.6305141D+00 0.5597832D+35
 0.6344487D+00 0.5662596D+35
 0.6384078D+00 0.5728075D+35
 0.6423916D+00 0.5794275D+35
 0.6464002D+00 0.5861204D+35
 0.6504339D+00 0.5928869D+35
 0.6544928D+00 0.5997278D+35
 0.6585769D+00 0.6066437D+35
 0.6626866D+00 0.6136355D+35
 0.6668219D+00 0.6207039D+35
 0.6709830D+00 0.6278496D+35
 0.6751701D+00 0.6350735D+35
 0.6793833D+00 0.6423763D+35
 0.6836228D+00 0.6497588D+35
 0.6878888D+00 0.6572218D+35
 0.6921813D+00 0.6647660D+35
 0.6965007D+00 0.6723924D+35
 0.7008470D+00 0.6801016D+35
 0.7052205D+00 0.6878945D+35
 0.7096212D+00 0.6957719D+35
 0.7140494D+00 0.7037347D+35
 0.7185052D+00 0.7117837D+35
 0.7229888D+00 0.7199197D+35
 0.7275004D+00 0.7281435D+35
 0.7320402D+00 0.7364561D+35
 0.7366083D+00 0.7448582D+35
 0.7412049D+00 0.7533507D+35
 0.7458302D+00 0.7619346D+35
 0.7504843D+00 0.7706107D+35
 0.7551675D+00 0.7793798D+35
 0.7598799D+00 0.7882428D+35
 0.7646217D+00 0.7972008D+35
 0.7693931D+00 0.8062545D+35
 0.7741943D+00 0.8154048D+35
 0.7790255D+00 0.8246527D+35
 0.7838868D+00 0.8339991D+35
 0.7887784D+00 0.8434450D+35
 0.7937005D+00 0.8529912D+35
 0.7986534D+00 0.8626387D+35
 0.8036372D+00 0.8723885D+35
 0.8086520D+00 0.8822415D+35
 0.8136982D+00 0.8921986D+35
 0.8187759D+00 0.9022609D+35
 0.8238852D+00 0.9124293D+35
 0.8290264D+00 0.9227048D+35
 0.8341997D+00 0.9330883D+35
 0.8394053D+00 0.9435809D+35
 0.8446434D+00 0.9541835D+35
 0.8499141D+00 0.9648972D+35
 0.8552178D+00 0.9757230D+35
 0.8605545D+00 0.9866619D+35
 0.8659246D+00 0.9977149D+35
 0.8713281D+00 0.1008883D+36
 0.8767654D+00 0.1020167D+36
 0.8822366D+00 0.1031569D+36
 0.8877420D+00 0.1043089D+36
 0.8932817D+00 0.1054728D+36
 0.8988560D+00 0.1066487D+36
 0.9044650D+00 0.1078368D+36
