   0.20000D+00   0.20372D+00   0.70995D+29
   0.20372D+00   0.20750D+00   0.73481D+29
   0.20750D+00   0.21135D+00   0.76053D+29
   0.21135D+00   0.21528D+00   0.78711D+29
   0.21528D+00   0.21928D+00   0.81460D+29
   0.21928D+00   0.22335D+00   0.84301D+29
   0.22335D+00   0.22750D+00   0.87238D+29
   0.22750D+00   0.23173D+00   0.90274D+29
   0.23173D+00   0.23603D+00   0.93412D+29
   0.23603D+00   0.24041D+00   0.96655D+29
   0.24041D+00   0.24488D+00   0.10001D+30
   0.24488D+00   0.24943D+00   0.10347D+30
   0.24943D+00   0.25406D+00   0.10705D+30
   0.25406D+00   0.25878D+00   0.11075D+30
   0.25878D+00   0.26359D+00   0.11457D+30
   0.26359D+00   0.26849D+00   0.11851D+30
   0.26849D+00   0.27347D+00   0.12259D+30
   0.27347D+00   0.27855D+00   0.12680D+30
   0.27855D+00   0.28373D+00   0.13115D+30
   0.28373D+00   0.28900D+00   0.13564D+30
   0.28900D+00   0.29436D+00   0.14027D+30
   0.29436D+00   0.29983D+00   0.14506D+30
   0.29983D+00   0.30540D+00   0.15000D+30
   0.30540D+00   0.31108D+00   0.15511D+30
   0.31108D+00   0.31685D+00   0.16038D+30
   0.31685D+00   0.32274D+00   0.16581D+30
   0.32274D+00   0.32873D+00   0.17142D+30
   0.32873D+00   0.33484D+00   0.17721D+30
   0.33484D+00   0.34106D+00   0.18319D+30
   0.34106D+00   0.34740D+00   0.18935D+30
   0.34740D+00   0.35385D+00   0.19571D+30
   0.35385D+00   0.36042D+00   0.20228D+30
   0.36042D+00   0.36712D+00   0.20904D+30
   0.36712D+00   0.37394D+00   0.21602D+30
   0.37394D+00   0.38088D+00   0.22322D+30
   0.38088D+00   0.38796D+00   0.23064D+30
   0.38796D+00   0.39516D+00   0.23828D+30
   0.39516D+00   0.40250D+00   0.24617D+30
   0.40250D+00   0.40998D+00   0.25430D+30
   0.40998D+00   0.41760D+00   0.26267D+30
   0.41760D+00   0.42535D+00   0.27130D+30
   0.42535D+00   0.43325D+00   0.28019D+30
   0.43325D+00   0.44130D+00   0.28935D+30
   0.44130D+00   0.44950D+00   0.29879D+30
   0.44950D+00   0.45785D+00   0.30850D+30
   0.45785D+00   0.46635D+00   0.31851D+30
   0.46635D+00   0.47501D+00   0.32881D+30
   0.47501D+00   0.48384D+00   0.33942D+30
   0.48384D+00   0.49283D+00   0.35033D+30
   0.49283D+00   0.50198D+00   0.36156D+30
   0.50198D+00   0.51130D+00   0.37311D+30
   0.51130D+00   0.52080D+00   0.38500D+30
   0.52080D+00   0.53048D+00   0.39722D+30
   0.53048D+00   0.54033D+00   0.40979D+30
   0.54033D+00   0.55037D+00   0.42272D+30
   0.55037D+00   0.56059D+00   0.43600D+30
   0.56059D+00   0.57100D+00   0.44966D+30
   0.57100D+00   0.58161D+00   0.46369D+30
   0.58161D+00   0.59241D+00   0.47811D+30
   0.59241D+00   0.60342D+00   0.49292D+30
   0.60342D+00   0.61463D+00   0.50813D+30
   0.61463D+00   0.62604D+00   0.52375D+30
   0.62604D+00   0.63767D+00   0.53979D+30
   0.63767D+00   0.64952D+00   0.55625D+30
   0.64952D+00   0.66158D+00   0.57314D+30
   0.66158D+00   0.67387D+00   0.59047D+30
   0.67387D+00   0.68639D+00   0.60825D+30
   0.68639D+00   0.69914D+00   0.62649D+30
   0.69914D+00   0.71212D+00   0.64519D+30
   0.71212D+00   0.72535D+00   0.66437D+30
   0.72535D+00   0.73883D+00   0.68403D+30
   0.73883D+00   0.75255D+00   0.70417D+30
   0.75255D+00   0.76653D+00   0.72481D+30
   0.76653D+00   0.78077D+00   0.74593D+30
   0.78077D+00   0.79527D+00   0.76755D+30
   0.79527D+00   0.81004D+00   0.78968D+30
   0.81004D+00   0.82509D+00   0.81238D+30
   0.82509D+00   0.84042D+00   0.83564D+30
   0.84042D+00   0.85603D+00   0.85940D+30
   0.85603D+00   0.87193D+00   0.88367D+30
   0.87193D+00   0.88812D+00   0.90844D+30
   0.88812D+00   0.90462D+00   0.93372D+30
   0.90462D+00   0.92143D+00   0.95952D+30
   0.92143D+00   0.93854D+00   0.98584D+30
   0.93854D+00   0.95597D+00   0.10127D+31
   0.95597D+00   0.97373D+00   0.10401D+31
   0.97373D+00   0.99182D+00   0.10680D+31
   0.99182D+00   0.10102D+01   0.10964D+31
   0.10102D+01   0.10290D+01   0.11253D+31
   0.10290D+01   0.10481D+01   0.11548D+31
   0.10481D+01   0.10676D+01   0.11849D+31
   0.10676D+01   0.10874D+01   0.12154D+31
   0.10874D+01   0.11076D+01   0.12465D+31
   0.11076D+01   0.11282D+01   0.12782D+31
   0.11282D+01   0.11492D+01   0.13103D+31
   0.11492D+01   0.11705D+01   0.13430D+31
   0.11705D+01   0.11922D+01   0.13762D+31
   0.11922D+01   0.12144D+01   0.14100D+31
   0.12144D+01   0.12369D+01   0.14442D+31
   0.12369D+01   0.12599D+01   0.14789D+31
   0.12599D+01   0.12833D+01   0.15141D+31
   0.12833D+01   0.13072D+01   0.15498D+31
   0.13072D+01   0.13314D+01   0.15860D+31
   0.13314D+01   0.13562D+01   0.16226D+31
   0.13562D+01   0.13814D+01   0.16596D+31
   0.13814D+01   0.14070D+01   0.16970D+31
   0.14070D+01   0.14332D+01   0.17348D+31
   0.14332D+01   0.14598D+01   0.17729D+31
   0.14598D+01   0.14869D+01   0.18113D+31
   0.14869D+01   0.15145D+01   0.18501D+31
   0.15145D+01   0.15427D+01   0.18892D+31
   0.15427D+01   0.15713D+01   0.19287D+31
   0.15713D+01   0.16005D+01   0.19684D+31
   0.16005D+01   0.16302D+01   0.20084D+31
   0.16302D+01   0.16605D+01   0.20486D+31
   0.16605D+01   0.16913D+01   0.20891D+31
   0.16913D+01   0.17228D+01   0.21299D+31
   0.17228D+01   0.17548D+01   0.21708D+31
   0.17548D+01   0.17874D+01   0.22120D+31
   0.17874D+01   0.18206D+01   0.22532D+31
   0.18206D+01   0.18544D+01   0.22947D+31
   0.18544D+01   0.18888D+01   0.23362D+31
   0.18888D+01   0.19239D+01   0.23778D+31
   0.19239D+01   0.19597D+01   0.24194D+31
   0.19597D+01   0.19961D+01   0.24610D+31
   0.19961D+01   0.20331D+01   0.25024D+31
   0.20331D+01   0.20709D+01   0.25437D+31
   0.20709D+01   0.21094D+01   0.25849D+31
   0.21094D+01   0.21485D+01   0.26259D+31
   0.21485D+01   0.21885D+01   0.26667D+31
   0.21885D+01   0.22291D+01   0.27074D+31
   0.22291D+01   0.22705D+01   0.27478D+31
   0.22705D+01   0.23127D+01   0.27881D+31
   0.23127D+01   0.23556D+01   0.28280D+31
   0.23556D+01   0.23994D+01   0.28677D+31
   0.23994D+01   0.24440D+01   0.29070D+31
   0.24440D+01   0.24894D+01   0.29460D+31
   0.24894D+01   0.25356D+01   0.29844D+31
   0.25356D+01   0.25827D+01   0.30224D+31
   0.25827D+01   0.26307D+01   0.30598D+31
   0.26307D+01   0.26795D+01   0.30965D+31
   0.26795D+01   0.27293D+01   0.31324D+31
   0.27293D+01   0.27800D+01   0.31675D+31
   0.27800D+01   0.28317D+01   0.32016D+31
   0.28317D+01   0.28843D+01   0.32348D+31
   0.28843D+01   0.29378D+01   0.32671D+31
   0.29378D+01   0.29924D+01   0.32984D+31
   0.29924D+01   0.30480D+01   0.33287D+31
   0.30480D+01   0.31046D+01   0.33580D+31
   0.31046D+01   0.31623D+01   0.33862D+31
   0.31623D+01   0.32210D+01   0.34134D+31
   0.32210D+01   0.32808D+01   0.34394D+31
   0.32808D+01   0.33418D+01   0.34644D+31
   0.33418D+01   0.34039D+01   0.34882D+31
   0.34039D+01   0.34671D+01   0.35109D+31
   0.34671D+01   0.35315D+01   0.35323D+31
   0.35315D+01   0.35971D+01   0.35526D+31
   0.35971D+01   0.36639D+01   0.35715D+31
   0.36639D+01   0.37320D+01   0.35891D+31
   0.37320D+01   0.38013D+01   0.36054D+31
   0.38013D+01   0.38719D+01   0.36202D+31
   0.38719D+01   0.39438D+01   0.36337D+31
   0.39438D+01   0.40171D+01   0.36456D+31
   0.40171D+01   0.40917D+01   0.36559D+31
   0.40917D+01   0.41677D+01   0.36647D+31
   0.41677D+01   0.42451D+01   0.36718D+31
   0.42451D+01   0.43240D+01   0.36772D+31
   0.43240D+01   0.44043D+01   0.36808D+31
   0.44043D+01   0.44861D+01   0.36825D+31
   0.44861D+01   0.45694D+01   0.36824D+31
   0.45694D+01   0.46543D+01   0.36802D+31
   0.46543D+01   0.47408D+01   0.36760D+31
   0.47408D+01   0.48288D+01   0.36697D+31
   0.48288D+01   0.49185D+01   0.36611D+31
   0.49185D+01   0.50099D+01   0.36503D+31
   0.50099D+01   0.51030D+01   0.36370D+31
   0.51030D+01   0.51977D+01   0.36207D+31
   0.51977D+01   0.52943D+01   0.36014D+31
   0.52943D+01   0.53926D+01   0.35793D+31
   0.53926D+01   0.54928D+01   0.35551D+31
   0.54928D+01   0.55948D+01   0.35285D+31
   0.55948D+01   0.56988D+01   0.34994D+31
   0.56988D+01   0.58046D+01   0.34674D+31
   0.58046D+01   0.59124D+01   0.34325D+31
   0.59124D+01   0.60223D+01   0.33946D+31
   0.60223D+01   0.61341D+01   0.33535D+31
   0.61341D+01   0.62481D+01   0.33094D+31
   0.62481D+01   0.63641D+01   0.32620D+31
   0.63641D+01   0.64823D+01   0.32114D+31
   0.64823D+01   0.66028D+01   0.31575D+31
   0.66028D+01   0.67254D+01   0.31003D+31
   0.67254D+01   0.68503D+01   0.30398D+31
   0.68503D+01   0.69776D+01   0.29758D+31
   0.69776D+01   0.71072D+01   0.29084D+31
   0.71072D+01   0.72392D+01   0.28376D+31
   0.72392D+01   0.73737D+01   0.27632D+31
   0.73737D+01   0.75106D+01   0.26854D+31
   0.75106D+01   0.76502D+01   0.26039D+31
   0.76502D+01   0.77923D+01   0.25189D+31
   0.77923D+01   0.79370D+01   0.24301D+31
   0.79370D+01   0.80844D+01   0.23372D+31
   0.80844D+01   0.82346D+01   0.22395D+31
   0.82346D+01   0.83876D+01   0.21349D+31
   0.83876D+01   0.85434D+01   0.20120D+31
   0.85434D+01   0.87021D+01   0.18580D+31
   0.87021D+01   0.88637D+01   0.16827D+31
   0.88637D+01   0.90284D+01   0.15009D+31
   0.90284D+01   0.91961D+01   0.13253D+31
   0.91961D+01   0.93669D+01   0.12007D+31
   0.93669D+01   0.95409D+01   0.11270D+31
   0.95409D+01   0.97181D+01   0.10651D+31
   0.97181D+01   0.98986D+01   0.10081D+31
   0.98986D+01   0.10082D+02   0.95208D+30
   0.10082D+02   0.10270D+02   0.89671D+30
   0.10270D+02   0.10461D+02   0.84416D+30
   0.10461D+02   0.10655D+02   0.79540D+30
   0.10655D+02   0.10853D+02   0.75054D+30
   0.10853D+02   0.11054D+02   0.70910D+30
   0.11054D+02   0.11260D+02   0.66981D+30
   0.11260D+02   0.11469D+02   0.63211D+30
   0.11469D+02   0.11682D+02   0.59586D+30
   0.11682D+02   0.11899D+02   0.56102D+30
   0.11899D+02   0.12120D+02   0.52750D+30
   0.12120D+02   0.12345D+02   0.49527D+30
   0.12345D+02   0.12574D+02   0.46430D+30
   0.12574D+02   0.12808D+02   0.43455D+30
   0.12808D+02   0.13046D+02   0.40600D+30
   0.13046D+02   0.13288D+02   0.37864D+30
