 0.1000000D+00 0.1752330D+34 0.1606660D+34 0.1447957D+34
 0.1006240D+00 0.1773720D+34 0.1626277D+34 0.1465641D+34
 0.1012519D+00 0.1795367D+34 0.1646130D+34 0.1483538D+34
 0.1018838D+00 0.1817275D+34 0.1666223D+34 0.1501651D+34
 0.1025195D+00 0.1839446D+34 0.1686557D+34 0.1519982D+34
 0.1031593D+00 0.1861885D+34 0.1707137D+34 0.1538534D+34
 0.1038030D+00 0.1884593D+34 0.1727964D+34 0.1557309D+34
 0.1044508D+00 0.1907574D+34 0.1749041D+34 0.1576310D+34
 0.1051026D+00 0.1930832D+34 0.1770373D+34 0.1595540D+34
 0.1057584D+00 0.1954369D+34 0.1791960D+34 0.1615001D+34
 0.1064184D+00 0.1978189D+34 0.1813808D+34 0.1634696D+34
 0.1070825D+00 0.2002295D+34 0.1835917D+34 0.1654628D+34
 0.1077507D+00 0.2026691D+34 0.1858293D+34 0.1674799D+34
 0.1084231D+00 0.2051379D+34 0.1880937D+34 0.1695213D+34
 0.1090997D+00 0.2076364D+34 0.1903853D+34 0.1715873D+34
 0.1097805D+00 0.2101649D+34 0.1927045D+34 0.1736780D+34
 0.1104655D+00 0.2127237D+34 0.1950514D+34 0.1757938D+34
 0.1111549D+00 0.2153132D+34 0.1974266D+34 0.1779351D+34
 0.1118485D+00 0.2179338D+34 0.1998302D+34 0.1801020D+34
 0.1125464D+00 0.2205857D+34 0.2022627D+34 0.1822950D+34
 0.1132488D+00 0.2232695D+34 0.2047243D+34 0.1845142D+34
 0.1139555D+00 0.2259854D+34 0.2072154D+34 0.1867601D+34
 0.1146666D+00 0.2287338D+34 0.2097364D+34 0.1890329D+34
 0.1153821D+00 0.2315151D+34 0.2122876D+34 0.1913329D+34
 0.1161021D+00 0.2343297D+34 0.2148693D+34 0.1936605D+34
 0.1168266D+00 0.2371780D+34 0.2174819D+34 0.1960160D+34
 0.1175556D+00 0.2400604D+34 0.2201258D+34 0.1983996D+34
 0.1182892D+00 0.2429772D+34 0.2228014D+34 0.2008119D+34
 0.1190274D+00 0.2459289D+34 0.2255089D+34 0.2032529D+34
 0.1197701D+00 0.2489159D+34 0.2282488D+34 0.2057232D+34
 0.1205175D+00 0.2519386D+34 0.2310215D+34 0.2082230D+34
 0.1212696D+00 0.2549974D+34 0.2338273D+34 0.2107527D+34
 0.1220263D+00 0.2580927D+34 0.2366667D+34 0.2133127D+34
 0.1227878D+00 0.2612249D+34 0.2395399D+34 0.2159032D+34
 0.1235540D+00 0.2643945D+34 0.2424475D+34 0.2185247D+34
 0.1243250D+00 0.2676020D+34 0.2453897D+34 0.2211775D+34
 0.1251008D+00 0.2708477D+34 0.2483671D+34 0.2238620D+34
 0.1258815D+00 0.2741320D+34 0.2513799D+34 0.2265785D+34
 0.1266670D+00 0.2774556D+34 0.2544287D+34 0.2293274D+34
 0.1274574D+00 0.2808187D+34 0.2575139D+34 0.2321091D+34
 0.1282528D+00 0.2842218D+34 0.2606358D+34 0.2349240D+34
 0.1290531D+00 0.2876655D+34 0.2637949D+34 0.2377724D+34
 0.1298584D+00 0.2911502D+34 0.2669916D+34 0.2406547D+34
 0.1306688D+00 0.2946763D+34 0.2702264D+34 0.2435714D+34
 0.1314842D+00 0.2982444D+34 0.2734997D+34 0.2465228D+34
 0.1323047D+00 0.3018549D+34 0.2768119D+34 0.2495094D+34
