 0.1000000D+00 0.1440560D+34
 0.1006240D+00 0.1458385D+34
 0.1012519D+00 0.1476429D+34
 0.1018838D+00 0.1494695D+34
 0.1025195D+00 0.1513186D+34
 0.1031593D+00 0.1531904D+34
 0.1038030D+00 0.1550852D+34
 0.1044508D+00 0.1570033D+34
 0.1051026D+00 0.1589450D+34
 0.1057584D+00 0.1609106D+34
 0.1064184D+00 0.1629003D+34
 0.1070825D+00 0.1649144D+34
 0.1077507D+00 0.1669533D+34
 0.1084231D+00 0.1690172D+34
 0.1090997D+00 0.1711065D+34
 0.1097805D+00 0.1732214D+34
 0.1104655D+00 0.1753623D+34
 0.1111549D+00 0.1775295D+34
 0.1118485D+00 0.1797233D+34
 0.1125464D+00 0.1819440D+34
 0.1132488D+00 0.1841919D+34
 0.1139555D+00 0.1864675D+34
 0.1146666D+00 0.1887709D+34
 0.1153821D+00 0.1911027D+34
 0.1161021D+00 0.1934630D+34
 0.1168266D+00 0.1958523D+34
 0.1175556D+00 0.1982708D+34
 0.1182892D+00 0.2007190D+34
 0.1190274D+00 0.2031973D+34
 0.1197701D+00 0.2057059D+34
 0.1205175D+00 0.2082453D+34
 0.1212696D+00 0.2108157D+34
 0.1220263D+00 0.2134177D+34
 0.1227878D+00 0.2160516D+34
 0.1235540D+00 0.2187177D+34
 0.1243250D+00 0.2214164D+34
 0.1251008D+00 0.2241483D+34
 0.1258815D+00 0.2269135D+34
 0.1266670D+00 0.2297126D+34
 0.1274574D+00 0.2325460D+34
 0.1282528D+00 0.2354141D+34
 0.1290531D+00 0.2383172D+34
 0.1298584D+00 0.2412559D+34
 0.1306688D+00 0.2442305D+34
 0.1314842D+00 0.2472416D+34
 0.1323047D+00 0.2502894D+34
 0.1331303D+00 0.2533745D+34
 0.1339611D+00 0.2564973D+34
 0.1347970D+00 0.2596583D+34
 0.1356382D+00 0.2628579D+34
 0.1364846D+00 0.2660967D+34
 0.1373363D+00 0.2693750D+34
 0.1381933D+00 0.2726933D+34
 0.1390556D+00 0.2760522D+34
 0.1399234D+00 0.2794522D+34
 0.1407965D+00 0.2828936D+34
 0.1416751D+00 0.2863770D+34
 0.1425592D+00 0.2899030D+34
 0.1434488D+00 0.2934720D+34
 0.1443440D+00 0.2970846D+34
 0.1452447D+00 0.3007412D+34
 0.1461511D+00 0.3044424D+34
 0.1470631D+00 0.3081888D+34
 0.1479808D+00 0.3119809D+34
 0.1489042D+00 0.3158192D+34
 0.1498334D+00 0.3197043D+34
 0.1507684D+00 0.3236367D+34
 0.1517092D+00 0.3276171D+34
 0.1526559D+00 0.3316460D+34
 0.1536085D+00 0.3357239D+34
 0.1545671D+00 0.3398515D+34
 0.1555316D+00 0.3440294D+34
 0.1565022D+00 0.3482582D+34
 0.1574788D+00 0.3525384D+34
 0.1584615D+00 0.3568708D+34
 0.1594503D+00 0.3612558D+34
 0.1604453D+00 0.3656942D+34
 0.1614465D+00 0.3701866D+34
 0.1624540D+00 0.3747337D+34
 0.1634677D+00 0.3793360D+34
 0.1644878D+00 0.3839943D+34
 0.1655143D+00 0.3887092D+34
 0.1665471D+00 0.3934814D+34
 0.1675864D+00 0.3983116D+34
 0.1686322D+00 0.4032005D+34
 0.1696845D+00 0.4081487D+34
 0.1707433D+00 0.4131571D+34
 0.1718088D+00 0.4182262D+34
 0.1728809D+00 0.4233569D+34
 0.1739598D+00 0.4285499D+34
 0.1750453D+00 0.4338059D+34
 0.1761376D+00 0.4391256D+34
 0.1772368D+00 0.4445099D+34
 0.1783428D+00 0.4499594D+34
 0.1794557D+00 0.4554751D+34
 0.1805755D+00 0.4610575D+34
 0.1817023D+00 0.4667077D+34
